place,artist,counts
223,Lauryn Hill,2881.0
224,Townes Van Zandt,2878.0
225,Loretta Lynn,2876.0
226,Zebrahead,2872.0
227,Willie Nelson,2861.0
228,King Diamond,2857.0
229,Erasure,2857.0
230,Van Halen,2838.0
231,Kirsty Maccoll,2832.0
232,Ian Hunter,2827.0
233,Pretenders,2820.0
234,Howard Jones,2817.0
235,Madonna,2815.0
236,Lenny Kravitz,2814.0
237,Chris Rea,2812.0
238,The Jam,2810.0
239,Moody Blues,2810.0
240,Dusty Springfield,2809.0
241,Backstreet Boys,2801.0
242,Nightwish,2799.0
243,The Beatles,2791.0
244,Dan Fogelberg,2785.0
245,W.A.S.P.,2782.0
246,Tom Jones,2778.0
247,George Jones,2776.0
248,Doors,2775.0
249,Queensryche,2771.0
250,Garth Brooks,2763.0
251,Avril Lavigne,2759.0
252,Procol Harum,2755.0
253,Meat Loaf,2751.0
254,Manowar,2747.0
255,Misfits,2744.0
256,Perry Como,2738.0
257,Rascal Flatts,2737.0
258,Everclear,2732.0
259,Journey,2730.0
260,Poison,2726.0
261,Cheap Trick,2724.0
262,INXS,2722.0
263,Talking Heads,2717.0
264,Conway Twitty,2717.0
265,ABBA,2717.0
266,Vince Gill,2715.0
267,Toto,2709.0
268,Wiz Khalifa,2705.0
269,The Monkees,2704.0
270,Utada Hikaru,2698.0
271,Alison Krauss,2692.0
272,Heart,2687.0
273,Roy Orbison,2684.0
274,Scorpions,2671.0
275,Status Quo,2667.0
276,Hanson,2663.0
277,Bee Gees,2656.0
278,Nat King Cole,2656.0
279,Faith Hill,2655.0
280,Air Supply,2645.0
281,Luther Vandross,2634.0
282,Roxette,2631.0
283,Gary Numan,2631.0
284,Fleetwood Mac,2624.0
285,Point Of Grace,2614.0
286,Neil Sedaka,2613.0
287,Ufo,2610.0
288,Don McLean,2608.0
289,Ween,2605.0
290,Guided By Voices,2605.0
291,Keith Urban,2602.0
292,Linda Ronstadt,2602.0
293,Ying Yang Twins,2599.0
294,Billie Holiday,2580.0
295,John McDermott,2580.0
296,The Temptations,2573.0
297,John Legend,2571.0
298,Oasis,2569.0
299,Boney M.,2564.0
300,Richard Marx,2548.0
301,Vybz Kartel,2543.0
302,Gino Vannelli,2541.0
303,Reo Speedwagon,2541.0
304,Regine Velasquez,2535.0
305,Pharrell Williams,2535.0
306,Utopia,2531.0
307,Alan Parsons Project,2530.0
